commodity,group,freq
item_ufp_capital_package,blueprints,25
item_ufp_cruiser_package,blueprints,25
item_ufp_destroyer_package,blueprints,25
item_ufp_frigate_package,blueprints,25
item_ufp_blueprint_package,blueprints,25
item_col_tech_package,blueprints,25
item_ufp_capital_package,blueprints_low,25
item_ufp_cruiser_package,blueprints_low,25
item_ufp_destroyer_package,blueprints_low,25
item_ufp_frigate_package,blueprints_low,25
item_ufp_blueprint_package,blueprints_low,25
item_col_tech_package,blueprints_low,25
item_ufp_capital_package,blueprints_guaranteed,25
item_ufp_cruiser_package,blueprints_guaranteed,25
item_ufp_destroyer_package,blueprints_guaranteed,25
item_ufp_frigate_package,blueprints_guaranteed,25
item_ufp_blueprint_package,blueprints_guaranteed,25
item_col_tech_package,blueprints_guaranteed,25
item_ufp_capital_package,package_bp,20
item_ufp_cruiser_package,package_bp,20
item_ufp_destroyer_package,package_bp,20
item_ufp_frigate_package,package_bp,20
item_ufp_blueprint_package,package_bp,20
item_col_tech_package,package_bp,20
item_ufp_capital_package,techmining_first_find,10
item_ufp_cruiser_package,techmining_first_find,10
item_ufp_destroyer_package,techmining_first_find,10
item_ufp_frigate_package,techmining_first_find,10
item_ufp_blueprint_package,techmining_first_find,10
item_col_tech_package,techmining_first_find,10
