id,trigger,conditions,script,text,options,notes
# + ENTERPRISE C OUTCOMES,,,,,,
museumGeordiLaForge_sim_ent_c_win,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_c_won",unset $global.ufp_sim_ent_c_won; unset $ufp_sim_ent_c_won,"""Outstanding tactical performance, Captain! You managed to destroy at least one Romulan Warbird before going down. The USS Enterprise C has been awarded to your fleet.""","1:museumGeordiLaForge_sim_yes:Try another simulation.
2:cutCommLink:Cut the comm link",Displays reward dialogue on victory condition.
museumGeordiLaForge_sim_ent_c_loss,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_sim_ent_c_failed",unset $global.ufp_sim_ent_c_failed; unset $ufp_sim_ent_c_failed,"""Simulation complete. You were overwhelmed before disabling any of the enemy vessels. Review your tactical logs and feel free to attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try again.
2:cutCommLink:Cut the comm link",Displays failure dialogue if 0 kills achieved.
museumGeordiLaForge_sim_ent_c_has_ship,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$global.ufp_has_enterprise_c",unset $global.ufp_has_enterprise_c; unset $ufp_has_enterprise_c,"""Sensors indicate the USS Enterprise C is already commissioned in your fleet. Holodeck rules permit only one active Enterprise C at a time. If yours is ever lost, you may attempt the simulation again.""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Replaces dialogue if player already owns the ship.
,,,,,,
# + BASE DIALOGUE TREE,,,,,,
museumGeordiLaForge_init,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
!$ufp_metGeordi
!$global.ufp_sim_ent_c_won
!$global.ufp_sim_ent_c_failed
!$global.ufp_has_enterprise_c",,,1:museumGeordiLaForge_visitor:Introduce myself.,First time introduction option.
museumGeordiLaForge_main,PopulateOptions,"$isPerson
$id == ufp_geordi_la_forge
$ufp_metGeordi
!$global.ufp_sim_ent_c_won
!$global.ufp_sim_ent_c_failed
!$global.ufp_has_enterprise_c",,"""Welcome back to the Starfleet Museum, Captain. How can I help you today?""","1:museumGeordiLaForge_sim_yes:Try a different simulation.
2:cutCommLink:Cut the comm link",Main menu for returning visits.
museumGeordiLaForge_visitor,DialogOptionSelected,$option == museumGeordiLaForge_visitor,SetLater $ufp_metGeordi 0,"""Good afternoon captain. Welcome to Spacedock Museum, the Starfleet Museum.""",1:museumGeordiLaForge_sim_info1:Ask about interactive simulations.,Sets memory flag using built-in SetLater command.
museumGeordiLaForge_sim_info1,DialogOptionSelected,$option == museumGeordiLaForge_sim_info1,,"""We offer historical holodeck fleet simulations right here in the museum to test your tactical skills.""",1:museumGeordiLaForge_sim_info2:Continue.,
museumGeordiLaForge_sim_info2,DialogOptionSelected,$option == museumGeordiLaForge_sim_info2,,"""If you complete a simulation while meeting specific combat parameters, you can win a prize for your fleet.""",1:museumGeordiLaForge_sim_info3:Continue.,
museumGeordiLaForge_sim_info3,DialogOptionSelected,$option == museumGeordiLaForge_sim_info3,,"""Would you like to give one a try?""","1:museumGeordiLaForge_sim_yes:Yes
2:museumGeordiLaForge_sim_no:No",
museumGeordiLaForge_sim_yes,DialogOptionSelected,$option == museumGeordiLaForge_sim_yes,,"""Select a historical starship simulation to attempt:""","1:museumGeordiLaForge_sim_ent_a:USS Enterprise A
2:museumGeordiLaForge_sim_excelsior:USS Excelsior
3:museumGeordiLaForge_sim_stargazer:USS Stargazer
4:museumGeordiLaForge_sim_ent_c:USS Enterprise C
5:museumGeordiLaForge_sim_ent_d:USS Enterprise D
6:museumGeordiLaForge_sim_ent_e:USS Enterprise E
7:museumGeordiLaForge_sim_defiant:USS Defiant
8:museumGeordiLaForge_sim_voyager:USS Voyager
9:cutCommLink:Never mind, cut the comm link.",Added USS Enterprise A option.
museumGeordiLaForge_sim_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_no,,"""Understood, Captain. Feel free to look around the museum at your leisure.""",1:cutCommLink:Cut the comm link,
,,,,,,
# + ENTERPRISE C MISSION INTERACTION,,,,,,
museumGeordiLaForge_sim_ent_c_ask,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_c,,"""Are you ready?""","1:museumGeordiLaForge_sim_ent_c_start:Yes
2:museumGeordiLaForge_sim_ent_c_no:No",Asks confirmation before launching sim.
museumGeordiLaForge_sim_ent_c_no,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_c_no,,"""Understood, Captain.""",1:cutCommLink:Cut the comm link,Declining options to cut comm link.
museumGeordiLaForge_sim_ent_c_start,DialogOptionSelected,$option == museumGeordiLaForge_sim_ent_c_start,StartEnterpriseCSimulation,,,
,,,,,,
# + ENTERPRISE D OUTCOMES,,,,,,
