id,trigger,conditions,script,text,options,notes
#RULESET_NAME UFP,,,,,,
,,,,,,
# PRAS MANSION,,,,,,
ufp_pras_greeting,PickGreeting,$id == pras_mr_contact score:2000,ShowPersonVisual Event_PrasVerification hello FireAll ufp_pras_greeting_main_opts,"(Mr. Pras looks up from an ornate desk.) What do you want, captain?",,
ufp_pras_greeting_opt_turnin,ufp_pras_greeting_main_opts,,,,10:ufp_pras_opt_turnin:Turn in AI cores,
ufp_pras_greeting_opt_nevermind,ufp_pras_greeting_main_opts,,,,11:ufp_pras_opt_nevermind:Never mind about turning AI cores.,
ufp_pras_greeting_opt_visitor,ufp_pras_greeting_main_opts,,,,12:ufp_pras_opt_visitor:I'm a visitor.,
,,,,,,
ufp_pras_on_turnin,DialogOptionSelected,$option == ufp_pras_opt_turnin,Event_PrasVerification turnin,,,
ufp_pras_on_nevermind,DialogOptionSelected,$option == ufp_pras_opt_nevermind,FireAll ufp_pras_greeting_main_opts,Right. Let's talk about something else.,,
ufp_pras_on_visitor,DialogOptionSelected,$option == ufp_pras_opt_visitor,FireAll ufp_pras_visitor_opts,A visitor for me? I don't recognize you captain. Are you an ally?,,
,,,,,,
ufp_pras_greeting_opt_no,ufp_pras_visitor_opts,,,,10:ufp_pras_opt_no:No,
ufp_pras_greeting_opt_yes,ufp_pras_visitor_opts,,,,11:ufp_pras_opt_yes:Yes,
ufp_pras_greeting_opt_leave,ufp_pras_visitor_opts,,,,12:ufp_pras_opt_leave:Leave,
,,,,,,
ufp_pras_on_no,DialogOptionSelected,$option == ufp_pras_opt_no,Event_PrasVerification no,Then off with you!,,
ufp_pras_on_leave,DialogOptionSelected,$option == ufp_pras_opt_leave,Event_PrasVerification leave,Wise of you. … Oaf.,,
ufp_pras_on_yes,DialogOptionSelected,$option == ufp_pras_opt_yes,"Event_PrasVerification yes 
FireAll ufp_pras_verify_opts","If you are an ally, you will need to give me the identification pin to prove so.",,
,,,,,,
ufp_pras_verify_opt,ufp_pras_verify_opts,!$global.$ufp_pras_verified score:1000,,,13:ufp_pras_opt_verify:Enter identification pin,
ufp_pras_verify_leave,ufp_pras_verify_opts,,,,14:ufp_pras_opt_verify_leave:Leave,
ufp_pras_on_verify_leave,DialogOptionSelected,$option == ufp_pras_opt_verify_leave,Event_PrasVerification forgetCode,Have you forgotten your code? Off with you…,,
,,,,,,
ufp_pras_on_verify,DialogOptionSelected,$option == ufp_pras_opt_verify,Event_PrasVerification openInput,,,
ufp_pras_verify_consumed,PopulateDialog,$global.$ufp_pras_verificationAttempted == true score:100,,,,
ufp_pras_verified_success,PopulateDialog,$global.$ufp_pras_verified == true score:2000,FireAll ufp_pras_curator_opts,AH! A fellow curator! A pleasure to meet you.,,
ufp_pras_verified_failure,PopulateDialog,$global.$ufp_pras_verificationAttempted == true !$global.$ufp_pras_verified score:2000,Event_PrasVerification attack,Wrong. Security!,,
,,,,,,
,,,,,,
