name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Base ModSpec,modspec,modspec,,,1,1000,1,,graphics/icons/cargo/modspec2.png,ui_chip_pickup,ui_modspec_drop,com.fs.starfarer.api.campaign.impl.items.ModSpecItemPlugin,,"A collection of notes, guidelines, and practical examples that enable one to adapt and apply this modification to various hulls.",50
# blueprints,,,,,,,,,,,,,,,
UFP Capital Ship Blueprint Package,ufp_capital_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/ufp_capital_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ufp_capital_bp,A collection of blueprints that enables shipyards and industries to produce United Federation of Planets capital ships. ,270
UFP CRUISER Ship Blueprint Package,ufp_cruiser_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/ufp_cruiser_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ufp_cruiser_bp,A collection of blueprints that enables shipyards and industries to produce United Federation of Planets cruiser ships. ,270
UFP DESTROYER Ship Blueprint Package,ufp_destroyer_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/ufp_destroyer_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ufp_destroyer_bp,A collection of blueprints that enables shipyards and industries to produce United Federation of Planets destroyer ships. ,270
UFP FRIGATE Ship Blueprint Package,ufp_frigate_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/ufp_frigate_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ufp_frigate_bp,A collection of blueprints that enables shipyards and industries to produce United Federation of Planets frigate ships. ,270
,,,,,,,,,,,,,,,
Federation Tech Package,ufp_blueprint_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/ufp_blueprint_package.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,ufp_bp,A collection of blueprints that enables shipyards and industries to produce United Federation of Planets ships and weapons.,270
,,,,,,,,,,,,,,,
COALITION Blueprint Package,col_tech_package,"package_bp, no_drop, hide_in_codex",,,1000000,1000,1,,graphics/icons/cargo/blueprint_basic.png,ui_chip_pickup,ui_bp_package_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,coalition_bp,This collection of blueprints unlocks an industry's ability to produce Coalition Tech products. To get you hands on a package means you must be a friend of Daemon Lourd. ,270
