weapon_id,projectile_id,shield_hp_mult,colTech_override
#NOTES,,,
defaultDamagePerSecond,,0.15,
defaultDamagePerShot,,0.15,
,,,
lightag,lightag_shot,0,0.6
lightac,lightac_shot,0,0.6
lightmg,lightmg_shot,0,0.6
lightmortar,lightmortar_shot,0,0.6
lightdualac,lightdualac_shot,0,0.6
lightneedler,lightneedler_shot,0,0.6
heavyac,heavyac_shot,0,0.6
heavymg,heavymg_shot,0,0.6
shredder,shredder_shot,0,0.6
pdburst,,0,0.6
pdburst_fighter,,0,0.6
irpulse,irpulse_shot,0,0.6
irpulse_fighter,irpulse_shot,0,0.6
lrpdlaser,,0,0.6
mininglaser,,0,0.6
pdlaser,,0,0.6
taclaser,,0,0.6
heavyburst,,0,0.6
pulselaser,pulselaser_shot,0,0.6
autopulse,autopulse_shot,0,0.6
guardian,,0,0.6
gorgon_payload,,0,0.6
swarmer,type_1_srm,0,0.6
swarmer_fighter,type_1_srm,0,0.6
jackhammer,hammer_torp,0,0.6
hydra_payload,,0,0.6
,,,
,,,
,,,
vulcan,vulcan_shot,0.01,0.6
chaingun,chaingun_shot,0.01,0.6
flak,flak_shot,0.01,0.6
dualflak,dualflak_shot,0.01,0.6
heavymortar,heavymortar_shot,0.01,0.6
heavyneedler,heavyneedler_shot,0.01,0.6
hephag,hephag_shot,0.01,0.6
mark9,mark9_shot,0.01,0.6
multineedler,multineedler_shot,0.01,0.6
miningblaster,miningblaster_shot,0.01,0.6
hil,,0.01,0.6
annihilator,annihilator_rocket,0.01,0.6
annihilator_fighter,annihilator_rocket,0.01,0.6
breach,breach_srm,0.01,0.6
gorgon,gorgon,0.01,0.6
gorgonpod,gorgon,0.01,0.6
sabot,sabot_srm,0.01,0.6
sabot_single,sabot_srm,0.01,0.6
sabot_fighter,sabot_srm,0.01,0.6
annihilatorpod,annihilator_rocket,0.01,0.6
hydra,hydra,0.01,0.6
locust,locust,0.01,0.6
squall,squall_rocket,0.01,0.6
,,,
railgun,railgun_shot,0.05,0.6
devastator,devastator_shot,0.05,0.6
irautolance,,0.05,0.6
phasebeam,,0.2,0.6
hammer,hammer_torp,0.05,0.6
hammer_single,hammer_torp,0.05,0.6
hammerrack,hammer_torp,0.05,0.6
harpoon,harpoon_mrm,0.05,0.6
harpoon_single,harpoon_mrm,0.05,0.6
harpoonpod,harpoon_mrm,0.05,0.6
phasecl,phase_charge,0.15,0.6
hurricane,type_1_mirv,0.05,0.6
,,,
arbalest,arbalest_shot,0.1,0.6
heavymauler,heavymauler_shot,0.1,0.6
hellbore,hellbore_shot,0.1,0.6
pilum,type_1_lrm,0.1,0.6
pilum_large,type_1_lrm,0.1,0.6
minipulser,minipulser_shot,0.1,0.6
,,,
hveldriver,hveldriver_shot,0.15,0.6
gauss,gauss_shot,0.15,0.6
ioncannon,ioncannon_shot,0.15,0.6
ioncannon_fighter,ioncannon_shot,0.15,0.6
kineticblaster,kineticblaster_shot,0.15,0.6
salamanderpod,heatseeker_mrm,0.15,0.6
resonatormrm,resonatormrm_shot,0.15,0.6
cryoblaster,,0.15,0.6
,,,
mjolnir,mjolnir_shot,0.2,0.6
ionpulser,ionpulser_shot,0.2,0.6
disintegrator,disintegrator_shot,0.2,0.6
shockrepeater,shockrepeater_shot,0.2,0.6
ionbeam,,0.2,0.6
gravitonbeam,,0.2,0.6
,,,
tpc,tpc_shot,0.25,0.6
atropos,atropos_torp,0.25,0.6
atropos_single,atropos_torp,0.25,0.6
dragon,dragon,0.25,0.6
dragonpod,,0,0.6
vpdriver,vpdriver_shot,0.25,0.6
,,,
heavyblaster,heavyblaster_shot,0.4,0.6
rifttorpedo,rift_torp,0.4,0.6
,,,
dragon_payload,,0.025,0.6
tachyonlance,,0.1,0.6
plasma,plasma_shot,0.5,0.6
reaper,reaper_torp,0.5,0.6
typhoon,reaper_torp,0.5,0.6
cyclone,reaper_torp,0.5,0.6
,,,
riftcascade,,0.2,0.6
riftcascade_minelayer,,0.2,0.6
,,,
,,,
riftbeam,,0.3,0.6
cryoflux,,0.3,0.6
,,,
typeV_laser,,0.075,0.6
typeIV_laser,,0.075,0.6
,,,
coalition_antishield,silvered_nadion_slug,0.12,0.6
coalition_antishieldM,silvered_nadion_slug,0.12,0.6
coalition_antishieldS,silvered_nadion_slug,0.12,0.6
,,,
