hull_id,main_pwr,pwr_recharge,aux_pwr,emergency_pwr,special_energy
#AUXILIARY CRAFT,,,,,
,,,,,
#FRIGATE SHIP NAME,,,,,
fed_centaur,8000,100,1500,,
fed_nova,12000,150,3200,,
fed_saber,12000,150,3200,,
,,,,,
#DESTROYER SHIP NAME,,,,,
fed_defiant,12500,100,3750,,
fed_miranda,10000,125,1200,,
,,,,,
#CRUISER SHIP NAME,,,,,
fed_constitution_enterpriseA,8000,125,1200,,
fed_constellation,12750,175,3000,,
fed_excelsior,15000,175,4400,,
fed_excelsiorRefit,17500,250,5000,,
,,,,,
#Capital Ships,,,,,
fed_ambassador,20000,200,6000,,
fed_ambassador_refit,20000,200,6000,,
fed_ambassador_retrofit,21000,200,6000,,
fed_galaxy,35000,275,12000,,
fed_sovereign,40000,300,10000,,
fed_divisionSovereign,42000,325,10000,,
,,,,,
rom_vMelak,24000,250,5000,,
borg_cube_bobw,50650,300,25000,,
,,,,,
#STATIONS,,,,,
fed_starfleetMuseum,132600,1200,25000,,
