hull_id,shield hitpoints,QF,QA,QS,QP
#AUXILIARY CRAFT,,,,,
fed_shuttle_type6,750,,,,
fed_shuttle_type9,800,,,,
fed_shuttle_type11,1200,,,,
,,,,,
#FRIGATE SHIP NAME,,,,,
fed_ventureScout,800,,,,
fed_centaur,2250,,,,
fed_nova,4000,,,,
fed_freedom,3750,,,,
fed_challenger,4900,,,,
fed_springfield,4900,,,,
fed_newOrleans,5500,,,,
,,,,,
#DESTROYER SHIP NAME,,,,,
fed_defiant,6000,,,,
fed_defiant_ussDefiant,6750,,,,
fed_defiantPras,8000,,,,
fed_miranda,3500,,,,
fed_saber,5250,,,,
fed_norway,7250,,,,
fed_steamrunner,7250,,,,
fed_cheyenne,6500,,,,
kli_bop_beta,3500,,,,
,,,,,
#CRUISER SHIP NAME,,,,,
fed_constitution_enterpriseA,5800,,,,
fed_excelsior,8400,,,,
fed_excelsiorRefit,9000,,,,
fed_excelsior_ussExcelsior,9200,,,,
fed_constellation,8800,,,,
fed_constellation_stargazer,9000,,,,
fed_intrepid,10000,,,,
fed_galaxy_saucer,15250,,,,
fed_galaxy_stardrive,15250,,,,
fed_enterpriseD_saucer,16000,,,,
fed_enterpriseD_stardrive,16000,,,,
fed_akira,12750,,,,
fed_nebula_NX,13250,,,,
fed_nebula,14000,,,,
fed_nebula_sensor,14000,,,,
fed_nebula_warp,14000,,,,
,,,,,
#Capital Ships,,,,,
fed_ambassador,20000,,,,
fed_ambassador_refit,21000,,,,
fed_ambassador_retrofit,24000,,,,
fed_ambassador_enterpriseC,20700,,,,
fed_galaxy,35750,,,,
fed_enterpriseD,36000,,,,
fed_sovereign,42000,,,,
fed_sovereign_ussSovereign,40000,,,,
fed_sovereign_enterpriseE,43000,,,,
fed_divisionSovereign,45480,,,,
fed_spaceDock,120000,,,,
,,,,,
rom_vMelak,18750,,,,
borg_cube_bobw,72650,,,,
,,,,,
paragon_signature,14000,,,,
