shieldGraphic_id,Fed_Shields,Rom_Shields,RomTLE_Shields,Terran_Shields,Borg_Shields,Kol_Shields,ColTech_Shields
BubbleShield,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield32,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
BubbleShield64,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BubbleShield128,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield192,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield256,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield320,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield384,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BubbleShield448,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
BubbleShield512,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield536,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield576,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
BubbleShield640,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield704,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BubbleShield768,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
