id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
# Add your fighter wings here. One left commented out for reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Wing_data.csv_Overview,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#flash_wing,flash_Bomber,"no_sell, bomber, remnant, bomber5, auto_fighter, merc",3,,5,12,V,4000,2500,300,4,BOMBER,Strike Drone,18,8000,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuttle_type6_wing,fed_shuttle_type6,"support1, fighter, ufp_bp, ufp",1,,1,2,V,2000,2250,300,1,SUPPORT,Support,1,3900,,,,,,,,,,,,,21
shuttle_type6_x2_wing,fed_shuttle_type6,"support2, fighter, ufp_bp, ufp",1,,2,4,V,2000,2250,300,2,SUPPORT,Support,2,7640,,,,,,,,,,,,,21
shuttle_type6_x3_wing,fed_shuttle_type6,"support3, fighter, ufp_bp, ufp",1,,4,6,V,2000,2250,300,3,SUPPORT,Support,3,11500,,,,,,,,,,,,,21
shuttle_type6_x4_wing,fed_shuttle_type6,"support4, fighter, ufp_bp, ufp",1,,8,8,V,2000,2250,300,4,SUPPORT,Support,4,15250,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuttle_type9_wing,fed_shuttle_type9,"fighter4, fighter, ufp_bp, ufp",2,,5,8,CLAW,2000,2250,300,2,FIGHTER,Heavy Interceptor,8,8000,,,,,,,,,,,,,21
shuttle_type9_x4_wing,fed_shuttle_type9,"fighter5, fighter, ufp_bp, ufp",3,,10,12,BOX,2000,2250,300,4,FIGHTER,Heavy Interceptor,16,16000,,,,,,,,,,,,,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuttle_type11_wing,fed_shuttle_type11,"bomber4, bomber, ufp_bp, ufp",2,,8,10,CLAW,4000,2750,600,2,BOMBER,Bomber,10,10000,,,,,,,,,,,,,11
shuttle_type11_x3_wing,fed_shuttle_type11,"bomber4, bomber, ufp_bp, ufp",2,,14,14,V,4000,2750,600,3,BOMBER,Bomber,112,20000,,,,,,,,,,,,,11
