name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
# Add your weapons here. One left commented out as a reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Weapon_data.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Light Machine Gun,lightmg,0,,100,300,,25,,1,50,3,,,,KINETIC,3,,0,0.4,5,0.1,0,5,1,15,,600,,,10,,,PD,"pd6, kinetic3, SR, base_bp, ind",,,,Point Defense,,,,,,,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type VIII Phaser [M],phaser_typeVIII_medium,,,7000,2000,575,,,,50,6,3,0.15,,ENERGY,,60,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
Type VIII Phaser,phaser_typeVIII,,,7000,2000,600,,,,50,8,3,0.15,,ENERGY,,75,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
Type VIII Mega Phaser,phaser_typeVIII_mega,,,7900,2000,680,,,,50,10,2,0.15,,ENERGY,,100,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type IX Phaser [S],phaser_typeIX_small,,,5500,2000,625,,,,50,5,2,0.15,,ENERGY,,75,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
Type IX Phaser [M],phaser_typeIX_medium,,,9500,2000,650,,,,50,10,3,0.15,,ENERGY,,90,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
Type IX Phaser,phaser_typeIX,,,9500,2000,700,,,,50,10,3,0.15,,ENERGY,,90,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type X - Class IV Phaser [S],phaser_typeX_auxiliaryCraft,,,8500,2000,375,,,,50,1,3,0.15,,ENERGY,,75,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam1, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
Type X Phaser [S],phaser_typeX_small,,,8500,2000,675,,,,50,5,2,0.15,,ENERGY,,50,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
Type X Phaser [M],phaser_typeX_medium,,,10500,2000,730,,,,50,8,3,0.15,,ENERGY,,80,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
Type X Phaser,phaser_typeX,,,12500,2000,775,,,,50,12,3,0.15,,ENERGY,,100,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam14, energy10, assault, LR, ufp",,,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type X Phaser [Station],station_phaser_typeX,,,30000,2750,1024,,,,50,15,5,0.15,,ENERGY,,250,0,0.25,3,0.1,0,,,,25000,,,,,,,,,,,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type IV Pulse Phaser,pulse_phaser_typeIV,1,,2500,2000,,275,,300,30,4,3,0.25,,ENERGY,30,,0.1,0.1,1,,,,,,,2000,,,1400,,,,"kinetic14, strike8, assault, LR, ufp",,,,Anti Shield,,,,,,,,,,6
Type X Pulse Phaser,pulse_phaser_typeX,3,,5000,2000,,400,,300,30,12,4,0.25,,ENERGY,75,,0.1,0.1,1,,,,,,,2000,,,1400,,,,"kinetic14, strike8, assault, LR, ufp",,,,Anti Shield,,,,,,,,,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#NAME TORPEDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [Critical Overload],photonTorpedo_critical,,,22330,2000,,2750,,25,40,30,20,,2,HIGH_EXPLOSIVE,170,,0,35,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro Photon Torpedo,photonTorpedo_micro,,,32800,2000,,750,,25,40,5,12,,2,HIGH_EXPLOSIVE,170,,0,30,1,0.25,0,0,,,,2000,2250,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
Photon Torpedo,photonTorpedo_standard,,,32800,2000,,1500,,25,40,20,250,,4,HIGH_EXPLOSIVE,170,,0,30,4,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantum Torpedo,quantumTorpedo_standard,,,40800,2000,,4200,,25,40,40,50,,4,ENERGY,225,,0,30,4,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
Quantum Torpedo [x1] ,quantumTorpedo_x1_standard,,,24050,2000,,4200,,25,40,15,25,,1,ENERGY,225,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [x1] (S) ,photonTorpedo_x1_standard_small,,,9200,2000,,1500,,25,40,8,20,,1,HIGH_EXPLOSIVE,150,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
Photon Torpedo [x1] (M) ,photonTorpedo_x1_standard_medium,,,9200,2000,,1500,,25,40,8,20,,1,HIGH_EXPLOSIVE,160,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
Photon Torpedo [x1],photonTorpedo_x1_standard,,,10450,2000,,1500,,25,40,8,30,,1,HIGH_EXPLOSIVE,170,,0,30,1,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [x2] (M),photonTorpedo_x2_standard_medium,,,10450,2000,,1500,,25,40,12,50,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
Photon Torpedo [x2],photonTorpedo_x2_standard,,,11500,2000,,1500,,25,40,12,50,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Torpedo [Type 6] (S),photon_torpedo_type6_s,,,12500,2000,,1800,,25,40,15,20,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
Photon Torpedo [Type 6],photon_torpedo_type6,,,15300,2000,,1800,,25,40,15,30,,2,HIGH_EXPLOSIVE,170,,0,30,2,0.25,0,0,,,,1500,1700,10,5000,,,,"strike8, missile1, LR, ufp",,,,Offensive,,,,,,,,,,8001
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tractor Beam,tractorBeam,,,20200,2000,0,0,,,,15,,,,ENERGY,,200,0,5,30,0..25,,,,,25000,,,,,,,,,,,,Defensive,,,,,,,,,,8002
Blinker Yellowish White,blinker_yellowishWhite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
Blinker Jupiter,blinker_jupiter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,44
