name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
# Add your weapons here. One left commented out as a reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Weapon_data.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Light Machine Gun,lightmg,0,,100,300,,25,,1,50,3,,,,KINETIC,3,,0,0.4,5,0.1,0,5,1,15,,600,,,10,,,PD,"pd6, kinetic3, SR, base_bp, ind",,,,Point Defense,,,,,,,,,,0.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type VII Phaser,phaser_typeVII,,,7000,1500,500,50,,,50,8,3,0.15,,ENERGY,,75,0,0.25,4,0.1,0,,,,25000,,,,,,,,"beam10, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type VIII Phaser [M],phaser_typeVIII_medium,,,7000,1500,575,,,,50,6,3,0.15,,ENERGY,,60,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam10, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Type VIII Phaser,phaser_typeVIII,,,7000,1500,600,,,,50,8,3,0.15,,ENERGY,,75,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam10, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
Type VIII Mega Phaser,phaser_typeVIII_mega,,,7900,1500,680,,,,50,10,2,0.15,,ENERGY,,100,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam10, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Type IX Phaser [S],phaser_typeIX_small,,,6250,1750,625,,,,50,5,2,0.15,,ENERGY,,75,0,0.25,3,0.1,0,,,,25000,,,,,,,,"beam12, energy10, assault, LR, ufp_bp, ufp",,Federation Tech,,Offensive,,,,,,,,,,
